district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Dramaga,Bogor,-6.577668999999999,106.7319218,03/06/2024,Rp 1.750.000.000,91 m²,154 m²,2,10,10,1,N/A,SHM,N/A,Full Furnished,N/A
Cibinong,Bogor,-6.4901067,106.8306951,03/06/2024,Rp 980.000.000,105 m²,78 m²,2,3,2,2,N/A,SHM,2200 Watt,N/A,2023
Gunung Putri,Bogor,-6.4265479,106.917969,03/06/2024,Rp 661.000.000,84 m²,40 m²,1,2,1,1,1,SHM,1300 Watt,Unfurnished,2024
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bogor Selatan,Bogor,-6.6323703,106.8075977,03/06/2024,Rp 3.450.000.000,270 m²,208 m²,2,3,3,N/A,N/A,SHM,N/A,Full Furnished,N/A
Jonggol,Bogor,-6.4597469,107.0422961,03/06/2024,Rp 1.750.000.000,430 m²,70 m²,N/A,2,2,N/A,N/A,HGB,N/A,N/A,N/A
Gunung Putri,Bogor,-6.4265479,106.917969,03/06/2024,Rp 580.000.000,70 m²,36 m²,1,2,1,1,1,SHM,1300 Watt,Unfurnished,2024
Gunung Sindur,Bogor,-6.3847562,106.6804186,03/06/2024,Rp 490.000.000,60 m²,70 m²,2,3,2,1,N/A,AJB,1308 Watt,Unfurnished,2024
Parung Panjang,Bogor,-6.3681068,106.5533873,03/06/2024,Rp 369.000.000,60 m²,32 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Gunung Putri,Bogor,-6.4288646,106.9240554,03/06/2024,Rp 2.950.000.000,238 m²,371 m²,N/A,6,5,N/A,2,SHM,N/A,N/A,N/A
Gunung Putri,Bogor,-6.4288646,106.9240554,03/06/2024,Rp 660.000,96 m²,45 m²,N/A,2,1,N/A,N/A,SHM,1300 Watt,Unfurnished,N/A
Bogor Barat,Bogor,-6.563991,106.7633625,03/06/2024,Rp 4.300.000.000,400 m²,200 m²,2,6,4,2,N/A,SHM,4399 Watt,N/A,N/A
Gunung Putri,Bogor,-6.4288646,106.9240554,03/06/2024,Rp 3.000.000.000,170 m²,240 m²,2,4,4,N/A,2,SHM,N/A,Full Furnished,N/A
Gunung Sindur,Bogor,-6.3847562,106.6804186,03/06/2024,Rp 860.000.000,58 m²,65 m²,2,2,2,1,N/A,SHM,2200 Watt,Semi Furnished,N/A
Gunung Putri,Bogor,-6.356087199999999,106.879792,03/06/2024,Rp 589.000.000,70 m²,36 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,N/A
Gunung Putri,Bogor,-6.4288646,106.9240554,03/06/2024,Rp 750.000.000,90 m²,60 m²,1,2,1,N/A,1,SHM,N/A,Unfurnished,N/A
Gunung Sindur,Bogor,-6.3847562,106.6804186,03/06/2024,Rp 550.000.000,72 m²,40 m²,1,2,1,N/A,N/A,SHM,N/A,N/A,N/A
Tajur Halang,Bogor,-6.4758182,106.7578498,03/06/2024,Rp 484.000.000,72 m²,36 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Gunung Putri,Bogor,-6.4288646,106.9240554,03/06/2024,Rp 1.800.000.000,160 m²,240 m²,N/A,4,3,N/A,2,SHM,N/A,N/A,N/A
Gunung Putri,Bogor,-6.4288646,106.9240554,03/06/2024,Rp 2.250.000.000,230 m²,210 m²,2,3,3,2,N/A,HGB,N/A,Unfurnished,N/A
