district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Tangerang,Tangerang,-6.194308299999999,106.6357013,25/04/2024,Rp 2.200.000.000,160 m²,136 m²,2,4,3,N/A,N/A,SHM,33000 Watt,Unfurnished,N/A
Kelapa Dua,Tangerang,-6.243365,106.6288533,25/04/2024,Rp 1.900.000.000,80 m²,105 m²,3,4,4,N/A,N/A,SHM,N/A,Full Furnished,N/A
Cikupa,Tangerang,-6.2181325,106.4970097,02/06/2024,Rp 2.980.000.000,239 m²,560 m²,4,5,4,1,N/A,SHM,N/A,Unfurnished,N/A
Curug,Tangerang,-6.2540795,106.5609134,05/03/2024,Rp 4.000.000.000,300 m²,255 m²,2,5,4,N/A,N/A,SHM,N/A,Unfurnished,N/A
Kelapa Dua,Tangerang,-6.243365,106.6288533,05/03/2024,Rp 6.500.000.000,375 m²,244 m²,2,4,3,N/A,N/A,SHM,3500 Watt,N/A,N/A
Teluknaga,Tangerang,-6.0575109,106.6786874,28/03/2024,Rp 1.500.000.000,45 m²,62 m²,2,2,2,N/A,N/A,PPJB,N/A,N/A,N/A
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 400.000.000,70 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,2023
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 300.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,2023
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 400.000.000,70 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,2023
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 300.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,2023
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 400.000.000,70 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,2023
Pagedangan,Tangerang,-6.2989555,106.613862,02/06/2024,Rp 1.650.000.000,83 m²,70 m²,2,3,2,N/A,1,PPJB,3500 Watt,Semi Furnished,2019
Tangerang,Tangerang,-6.1114429,106.7369747,02/06/2024,Rp 450.000.000,60 m²,36 m²,1,2,1,1,N/A,SHM,2200 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 380.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Panongan,Tangerang,-6.260340299999999,106.5235921,02/06/2024,Rp 1.250.000.000,120 m²,160 m²,2,3,2,1,2,SHM,33000 Watt,Semi Furnished,2019
Panongan,Tangerang,-6.260340299999999,106.5235921,02/06/2024,Rp 1.500.000.000,222 m²,158 m²,1,4,2,2,2,SHM,N/A,Semi Furnished,2019
Pinang,Tangerang,-6.222638799999999,106.6920099,02/06/2024,Rp 1.462.500.000,165 m²,260 m²,2,4,2,1,1,SHM,4400 Watt,Semi Furnished,2019
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 370.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Sepatan,Tangerang,-6.1188248,106.5756671,02/06/2024,Rp 679.000.000,105 m²,52 m²,1,2,1,1,1,SHM,1300 Watt,Unfurnished,2020
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 380.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Karawaci,Tangerang,-6.1805834,106.6201927,02/06/2024,Rp 550.000.000,72 m²,160 m²,3,4,3,1,N/A,SHM,N/A,Unfurnished,N/A
Karawaci,Tangerang,-6.1805834,106.6201927,02/06/2024,Rp 900.000.000,72 m²,160 m²,3,4,3,1,N/A,SHM,N/A,Unfurnished,N/A
Karawaci,Tangerang,-6.1805834,106.6201927,02/06/2024,Rp 550.000.000,72 m²,160 m²,3,4,3,1,N/A,SHM,N/A,Unfurnished,N/A
