district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
jatibening,Bekasi,-6.261676899999999,106.9506175,21/04/2024,Rp 465.000.000,72 m²,40 m²,1,2,1,N/A,1,SHM,N/A,N/A,N/A
Alam Pesona Wanajaya,Bekasi Selatan,-6.2391726,107.1010275,21/04/2024,Rp 355.000.000,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grand Residence City,Bekasi Selatan,-6.3298482,107.0310717,21/04/2024,Rp 460.000.000,60 m²,45 m²,1,2,1,1,N/A,SHM,1299 Watt,Unfurnished,2023
Bekasi Timur Regency,Bekasi Selatan,-6.2598431,106.9726004,21/04/2024,Rp 475.000.000,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,21/04/2024,Rp 550.000.005,52 m²,108 m²,N/A,2,2,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,21/04/2024,Rp 535.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Pondokgede,Bekasi,-6.2697026,106.9308294,21/04/2024,Rp 800.000.002,96 m²,55 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bekasi Timur,Bekasi,-6.2491162,107.013564,21/04/2024,Rp 470.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Pondokgede,Bekasi,-6.2697026,106.9308294,21/04/2024,Rp 2.000.000.000,98 m²,196 m²,2,4,3,2,N/A,SHM,4500 Watt,Semi Furnished,N/A
Bekasi Timur,Bekasi,-6.2491162,107.013564,21/04/2024,Rp 580.000.005,85 m²,55 m²,N/A,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Pondokgede,Bekasi,-6.2697026,106.9308294,21/04/2024,Rp 550.000.002,52 m²,108 m²,2,2,2,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Pondokgede,Bekasi,-6.2697026,106.9308294,21/04/2024,Rp 535.000.002,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bekasi Timur Regency,Bekasi Selatan,-6.2598431,106.9726004,21/04/2024,Rp 575.000.000,72 m²,55 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,21/04/2024,Rp 460.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Pondokgede,Bekasi,-6.2697026,106.9308294,21/04/2024,Rp 470.000.002,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bekasi Timur,Bekasi,-6.2491162,107.013564,21/04/2024,Rp 775.000.005,100 m²,80 m²,N/A,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,21/04/2024,Rp 480.000.007,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Pondokgede,Bekasi,-6.2697026,106.9308294,21/04/2024,Rp 580.000.002,85 m²,55 m²,1,3,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Cikarang Pusat,Bekasi,-6.3669752,107.1478351,21/04/2024,Rp 355.000.002,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,07/04/2024,Rp 495.000.000,60 m²,50 m²,1,2,1,1,1,SHM,1300 Watt,Unfurnished,2020
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,07/04/2024,Rp 595.000.000,117 m²,50 m²,1,2,1,1,1,SHM,1300 Watt,Unfurnished,2010
Vida Bumipala,Bekasi Selatan,-6.3156704,107.001668,07/04/2024,Rp 2.000.000.000,98 m²,196 m²,2,4,3,1,N/A,SHM,4500 Watt,Unfurnished,2022
Vida Bumipala,Bekasi Selatan,-6.3156704,107.001668,07/04/2024,Rp 550.000.000,52 m²,108 m²,2,2,2,1,N/A,SHM,1300 Watt,Unfurnished,2020
Bekasi Timur,Bekasi,-6.2491162,107.013564,07/04/2024,Rp 470.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Vida Bumipala,Bekasi Selatan,-6.3156704,107.001668,07/04/2024,Rp 535.000.000,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2020
Dukuh Zamrud,Bekasi Selatan,-6.3121607,107.021111,07/04/2024,Rp 470.000.000,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur Regency,Bekasi Selatan,-6.2598431,106.9726004,07/04/2024,Rp 580.000.000,85 m²,55 m²,1,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2022
Bekasi Timur,Bekasi,-6.2491162,107.013564,31/03/2024,Rp 2.000.000.005,98 m²,196 m²,N/A,4,3,1,N/A,SHM,1300 Watt,Semi Furnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,31/03/2024,Rp 550.000.005,52 m²,108 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,31/03/2024,Rp 535.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,31/03/2024,Rp 470.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,31/03/2024,Rp 580.000.005,85 m²,55 m²,N/A,3,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,31/03/2024,Rp 460.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,31/03/2024,Rp 775.000.005,100 m²,80 m²,N/A,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,31/03/2024,Rp 575.000.005,70 m²,50 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Taman Harapan Baru,Bekasi Utara,-6.1765755,106.9946007,17/03/2024,Rp 825.000.000,92 m²,100 m²,1,3,2,1,N/A,SHM,4400 Watt,Unfurnished,N/A
Pondok Ungu Permai,Bekasi Utara,-6.1800099,107.0054386,17/03/2024,Rp 400.000.000,60 m²,50 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,17/03/2024,Rp 650.000.000,40 m²,80 m²,2,3,2,1,N/A,SHM,N/A,Unfurnished,2024
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,17/03/2024,Rp 850.000.000,64 m²,82 m²,1,3,2,1,N/A,SHM,N/A,Unfurnished,2024
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,17/03/2024,Rp 875.000.000,62 m²,85 m²,2,2,2,N/A,1,SHM,N/A,Unfurnished,2024
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,17/03/2024,Rp 829.000.000,94 m²,40 m²,1,2,2,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,17/03/2024,Rp 550.000.000,60 m²,50 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Kedasih,Bekasi Barat,-6.231262399999999,106.9598493,10/03/2024,Rp 480.000.007,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Grand Residence City,Bekasi Barat,-6.3298482,107.0310717,10/03/2024,Rp 460.000.007,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2022
Dukuh Zamrud,Bekasi Barat,-6.3121607,107.021111,10/03/2024,Rp 775.000.007,100 m²,85 m²,1,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Dukuh Zamrud,Bekasi Barat,-6.3121607,107.021111,10/03/2024,Rp 575.000.007,70 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur Regency,Bekasi Barat,-6.2248942,106.9788898,10/03/2024,Rp 475.000.007,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur Regency,Bekasi Barat,-6.2248942,106.9788898,10/03/2024,Rp 575.000.007,72 m²,55 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Jatiasih,Bekasi,-6.3102117,106.9532337,03/03/2024,Rp 1.350.000.000,100 m²,149 m²,2,N/A,N/A,2,2,SHM,2200 Watt,Unfurnished,N/A
Bekasi Selatan,Bekasi,-6.2598431,106.9726004,03/03/2024,Rp 3.500.000.000,200 m²,145 m²,2,3,3,N/A,N/A,SHM,4400 Watt,Unfurnished,2023
Cikarang Utara,Bekasi,-6.2585934,107.1470724,03/03/2024,Rp 420.000.000,72 m²,36 m²,N/A,2,1,1,N/A,SHM,2200 Watt,N/A,2024
harapan indah,Medan Satria,-6.1817524,106.9736839,25/02/2024,Rp 755.000.000,94 m²,80 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2020
Permata Hijau Permai,Bekasi Utara,-6.203464299999999,107.0042335,25/02/2024,Rp 700.000.000,60 m²,150 m²,3,4,2,1,N/A,SHM,2200 Watt,Unfurnished,2020
